,STATENAME,COUNTYNAME,ADDRESS_CITY,ORI9,agency_name_edit,agency_type_name,civilian_ct,csv_header,data_year,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,ncic_agency_name,ori,pe_ct_per_1000,population,state_abbr,total_pe_ct
10,ALABAMA,LAWRENCE,MOULTON,AL0420000,LAWRENCE CO SO MOULTON,County,20,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,9,1,10,11,30,41,LAWRENCE CO SO MOULTON,AL0420000,1.87,27327,AL,51
11,ALABAMA,CRENSHAW,BRANTLEY,AL0240200,BRANTLEY PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,3,3,BRANTLEY PD,AL0240200,3.73,805,AL,3
12,ALABAMA,CRENSHAW,DOZIER,AL0240300,DOZIER PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,1,1,DOZIER PD,AL0240300,3.0,333,AL,1
13,ALABAMA,CRENSHAW,LUVERNE,AL0240100,LUVERNE PD,City,5,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,3,0,3,2,11,13,LUVERNE PD,AL0240100,5.63,2843,AL,16
14,ALABAMA,CRENSHAW,LUVERNE,AL0240000,CRENSHAW CO SO LUVERNE,County,2,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,2,0,2,0,8,8,CRENSHAW CO SO LUVERNE,AL0240000,1.0,9971,AL,10
15,ALABAMA,ETOWAH,ALTOONA,AL0310900,ALTOONA PD,City,,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,,,,0,0,0,ALTOONA PD,AL0310900,,921,AL,
16,ALABAMA,ETOWAH,ATTALLA,AL0310100,ATTALLA PD,City,5,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,4,0,4,1,22,23,ATTALLA PD,AL0310100,4.6,5870,AL,27
17,ALABAMA,ETOWAH,GADSDEN,AL0310200,GADSDEN PD,City,26,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,22,11,33,4,106,110,GADSDEN PD,AL0310200,3.98,35927,AL,143
18,ALABAMA,ETOWAH,GLENCOE,AL0310400,GLENCOE PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,8,8,GLENCOE PD,AL0310400,1.55,5150,AL,8
19,ALABAMA,ETOWAH,HOKES BLUFF,AL0310600,HOKES BLUFF PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,7,7,HOKES BLUFF PD,AL0310600,1.63,4304,AL,7
20,ALABAMA,ETOWAH,RAINBOW CITY,AL0310500,RAINBOW CITY PD RAINBOW CITY,City,10,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,9,1,10,1,22,23,RAINBOW CITY PD RAINBOW CITY,AL0310500,3.45,9573,AL,33
21,ALABAMA,ETOWAH,SARDIS CITY,AL0310800,SARDIS CITY PD SARDIS CITY,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,4,4,SARDIS CITY PD SARDIS CITY,AL0310800,2.27,1764,AL,4
22,ALABAMA,ETOWAH,SOUTHSIDE,AL0310700,SOUTHSIDE PD SOUTHSIDE,City,6,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,5,0,5,1,13,14,SOUTHSIDE PD SOUTHSIDE,AL0310700,2.21,8602,AL,19
23,ALABAMA,ETOWAH,WALNUT GROVE,AL0311000,WALNUT GROVE,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,1,1,WALNUT GROVE,AL0311000,1.46,683,AL,1
24,ALABAMA,ETOWAH,GADSDEN,AL0310000,ETOWAH CO SO GADSDEN,County,95,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,33,3,36,62,58,120,ETOWAH CO SO GADSDEN,AL0310000,5.4,28872,AL,156
25,ALABAMA,ETOWAH,GADSDEN,AL0312200,ETOWAH CTY DRG ENFRCMT U,Other,,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,,,,0,0,0,ETOWAH CTY DRG ENFRCMT U,AL0312200,,0,AL,
26,ALABAMA,COVINGTON,ANDALUSIA,AL0230100,ANDALUSIA PD,City,11,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,7,2,9,4,23,27,ANDALUSIA PD,AL0230100,3.97,9071,AL,36
27,ALABAMA,COVINGTON,ANDALUSIA,AL0230800,22ND JUDICIAL CIRCUIT DRUG TASK FORCE,Other,,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,,,,0,0,0,22ND JUDICIAL CIRCUIT DRUG TASK FORCE,AL0230800,,0,AL,
28,ALABAMA,COVINGTON,FLORALA,AL0230300,FLORALA PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,1,1,0,2,2,FLORALA PD,AL0230300,1.52,1971,AL,3
29,ALABAMA,COVINGTON,GANTT,AL0230400,GANTT PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,0,0,GANTT PD,AL0230400,0.0,223,AL,0
30,ALABAMA,COVINGTON,LOCKHART,AL0230600,LOCKHART PD,City,,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,,,,0,0,0,LOCKHART PD,AL0230600,,520,AL,
31,ALABAMA,COVINGTON,OPP,AL0230200,OPP PD,City,9,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,3,1,4,6,20,26,OPP PD,AL0230200,4.51,6657,AL,30
32,ALABAMA,COVINGTON,RED LEVEL,AL0230500,RED LEVEL PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,2,2,RED LEVEL PD,AL0230500,4.07,491,AL,2
33,ALABAMA,COVINGTON,RIVER FALLS,AL0230700,RIVER FALLS,City,,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,,,,0,0,0,RIVER FALLS,AL0230700,,527,AL,
34,ALABAMA,COVINGTON,ANDALUSIA,AL0230000,COVINGTON CO SO ANDALUSIA,County,3,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,3,0,3,0,25,25,COVINGTON CO SO ANDALUSIA,AL0230000,1.53,18293,AL,28
35,ALABAMA,BLOUNT,BLOUNTSVILLE,AL0080200,BLOUNTSVILLE PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,1,1,0,2,2,BLOUNTSVILLE PD,AL0080200,1.77,1699,AL,3
36,ALABAMA,BLOUNT,CLEVELAND,AL0080300,CLEVELAND PD,City,1,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,1,0,1,0,2,2,CLEVELAND PD,AL0080300,2.28,1317,AL,3
37,ALABAMA,BLOUNT,ONEONTA,AL0080500,HIGHLAND LAKE PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,0,0,HIGHLAND LAKE PD,AL0080500,0.0,426,AL,0
38,ALABAMA,BLOUNT,ONEONTA,AL0080100,ONEONTA PD,City,1,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,1,1,2,0,18,18,ONEONTA PD,AL0080100,3.02,6624,AL,20
39,ALABAMA,BLOUNT,SNEAD,AL0080400,SNEAD PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,4,4,SNEAD PD,AL0080400,4.74,844,AL,4
40,ALABAMA,BLOUNT,ONEONTA,AL0080000,BLOUNT CO SO ONEONTA,County,23,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,12,1,13,11,23,34,BLOUNT CO SO ONEONTA,AL0080000,1.01,46655,AL,47
41,ALABAMA,JEFFERSON,ADAMSVILLE,AL0012200,ADAMSVILLE PD,City,10,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,9,1,10,1,16,17,ADAMSVILLE PD,AL0012200,6.17,4377,AL,27
42,ALABAMA,JEFFERSON,BESSEMER,AL0010100,BESSEMER PD,City,21,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,19,12,31,2,108,110,BESSEMER PD,AL0010100,5.3,26592,AL,141
43,ALABAMA,JEFFERSON,BIRMINGHAM,AL0014000,,University or College,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,0,0,,AL0014000,,0,AL,0
44,ALABAMA,JEFFERSON,BIRMINGHAM,AL0012400,UNIVERSITY OF ALABAMA CAMPUS PD BIRMINGHAM,University or College,32,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,20,14,34,12,42,54,UNIVERSITY OF ALABAMA CAMPUS PD BIRMINGHAM,AL0012400,,0,AL,88
45,ALABAMA,JEFFERSON,BIRMINGHAM,AL0013400,JEFFERSON STATE COMM COL,University or College,2,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,1,1,2,1,7,8,JEFFERSON STATE COMM COL,AL0013400,,0,AL,10
46,ALABAMA,JEFFERSON,BIRMINGHAM,AL0010200,BIRMINGHAM PD,City,266,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,201,131,332,65,735,800,BIRMINGHAM PD,AL0010200,5.33,212549,AL,1132
47,ALABAMA,JEFFERSON,BRIGHTON,AL0011800,BRIGHTON PD,City,4,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,3,0,3,1,4,5,BRIGHTON PD,AL0011800,2.81,2846,AL,8
48,ALABAMA,JEFFERSON,BROOKSIDE,AL0012700,BROOKSIDE PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,3,3,BROOKSIDE PD,AL0012700,2.27,1322,AL,3
49,ALABAMA,JEFFERSON,FAIRFIELD,AL0010400,FAIRFIELD PD,City,9,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,7,1,8,2,20,22,FAIRFIELD PD,AL0010400,2.76,10869,AL,30
50,ALABAMA,JEFFERSON,FULTONDALE,AL0011100,FULTONDALE PD,City,7,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,6,2,8,1,24,25,FULTONDALE PD,AL0011100,3.59,9188,AL,33
51,ALABAMA,JEFFERSON,GARDENDALE,AL0010500,GARDENDALE PD,City,10,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,4,2,6,6,29,35,GARDENDALE PD,AL0010500,3.0,13675,AL,41
52,ALABAMA,JEFFERSON,HOMEWOOD,AL0011000,HOMEWOOD PD,City,31,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,11,4,15,20,70,90,HOMEWOOD PD,AL0011000,4.07,25823,AL,105
53,ALABAMA,JEFFERSON,HOOVER,AL0011200,HOOVER PD,City,62,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,34,10,44,28,155,183,HOOVER PD,AL0011200,2.65,85601,AL,227
54,ALABAMA,JEFFERSON,HUEYTOWN,AL0011900,HUEYTOWN PD,City,9,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,6,2,8,3,36,39,HUEYTOWN PD,AL0011900,3.01,15632,AL,47
55,ALABAMA,JEFFERSON,IRONDALE,AL0011300,IRONDALE PD,City,8,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,5,0,5,3,35,38,IRONDALE PD,AL0011300,3.46,12439,AL,43
56,ALABAMA,JEFFERSON,KIMBERLY,AL0012900,KIMBERLY PD,City,10,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,10,4,14,KIMBERLY PD,AL0012900,4.78,2931,AL,14
57,ALABAMA,JEFFERSON,LEEDS,AL0010600,LEEDS PD,City,7,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,5,2,7,2,19,21,LEEDS PD,AL0010600,2.34,11964,AL,28
58,ALABAMA,JEFFERSON,LIPSCOMB,AL0012000,LIPSCOMB PD,City,4,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,3,0,3,1,5,6,LIPSCOMB PD,AL0012000,4.2,2145,AL,9
59,ALABAMA,JEFFERSON,MCCALLA,AL0013200,TANNEHILL IRONWORKS H SP,Other State Agency,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,0,0,TANNEHILL IRONWORKS H SP,AL0013200,,0,AL,0
60,ALABAMA,JEFFERSON,MIDFIELD,AL0010700,MIDFIELD PD,City,5,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,2,2,4,3,13,16,MIDFIELD PD,AL0010700,3.85,5195,AL,20
61,ALABAMA,JEFFERSON,MORRIS,AL0012600,MORRIS PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,5,5,MORRIS PD,AL0012600,2.56,1950,AL,5
62,ALABAMA,JEFFERSON,MOUNTAIN BROOK,AL0010300,MOUNTAIN BROOK PD,City,13,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,10,5,15,3,51,54,MOUNTAIN BROOK PD,AL0010300,3.33,20737,AL,69
63,ALABAMA,JEFFERSON,PLEASANT GROVE,AL0011400,PLEASANT GROVE PD,City,5,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,3,2,5,2,13,15,PLEASANT GROVE PD,AL0011400,1.94,10293,AL,20
64,ALABAMA,JEFFERSON,TARRANT,AL0010800,TARRANT PD,City,5,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,3,0,3,2,20,22,TARRANT PD,AL0010800,4.05,6176,AL,25
65,ALABAMA,JEFFERSON,TRAFFORD,AL0012500,TRAFFORD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,1,1,TRAFFORD,AL0012500,1.58,632,AL,1
66,ALABAMA,JEFFERSON,TRUSSVILLE,AL0012100,TRUSSVILLE PD,City,13,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,10,1,11,3,54,57,TRUSSVILLE PD,AL0012100,3.2,21229,AL,68
