,Civilian labor force,,,,Unemployed,,,,,,,
Fort Lauderdale-Pompano Beach-Deerfield Beach,"993,529","1,023,548","995,932","1,025,431","45,961","47,045","43,827","44,712",4.6,4.6,4.4,4.4
Miami-Miami Beach-Kendall,"1,340,962","1,343,335","1,342,510","1,357,331","75,377","67,748","77,698","72,658",5.6,5,5.8,5.4
West Palm Beach-Boca Raton-Delray Beach,"700,050","714,397","699,308","711,148","32,883","35,000","31,280","33,199",4.7,4.9,4.5,4.7
Illinois,"6,541,640","6,545,037","6,534,881","6,512,493","379,763","345,405","390,552","362,965",5.8,5.3,6,5.6
Chicago-Naperville-Elgin(2),"4,887,867","4,914,922","4,894,460","4,896,843","266,114","259,012","277,811","265,144",5.4,5.3,5.7,5.4
Chicago-Naperville-Arlington Heights,"3,761,366","3,784,470","3,771,441","3,773,042","201,268","205,256","208,567","203,326",5.4,5.4,5.5,5.4
Elgin,"328,517","327,848","325,507","324,352","19,751","15,544","20,883","18,521",6,4.7,6.4,5.7
Gary(3),"337,509","343,956","339,085","340,448","19,547","17,370","21,266","18,910",5.8,5.1,6.3,5.6
Lake County-Kenosha County(2),"460,475","458,648","458,427","459,001","25,548","20,842","27,095","24,387",5.5,4.5,5.9,5.3
Massachusetts,"3,562,821","3,579,767","3,554,554","3,587,944","160,734","91,522","162,367","100,100",4.5,2.6,4.6,2.8
Boston-Cambridge-Nashua(2),"2,629,115","2,650,951","2,619,817","2,656,752","107,387","63,403","105,889","67,561",4.1,2.4,4,2.5
Boston-Cambridge-Newton,"1,555,591","1,568,951","1,548,647","1,573,131","60,716","34,852","59,197","36,937",3.9,2.2,3.8,2.3
Brockton-Bridgewater-Easton,"105,652","105,798","105,519","106,026","5,283","2,965","5,350","3,249",5,2.8,5.1,3.1
Framingham,"154,039","155,398","153,657","155,941","5,531","3,231","5,603","3,534",3.6,2.1,3.6,2.3
Haverhill-Newburyport-Amesbury Town(2),"112,723","114,656","112,115","114,319","4,582","2,957","4,577","3,217",4.1,2.6,4.1,2.8
Lawrence-Methuen Town-Salem(2),"95,778","94,587","95,474","94,381","5,726","3,400","5,747","3,577",6,3.6,6,3.8
Lowell-Billerica-Chelmsford(2),"182,939","183,278","182,424","184,224","8,480","4,873","8,459","5,300",4.6,2.7,4.6,2.9
Lynn-Saugus-Marblehead,"82,817","83,124","82,659","83,183","3,792","2,187","3,791","2,320",4.6,2.6,4.6,2.8
Nashua(2),"167,615","171,808","167,497","171,783","5,555","4,564","5,328","4,664",3.3,2.7,3.2,2.7
Peabody-Salem-Beverly,"89,876","90,529","89,875","90,950","3,785","2,113","3,734","2,257",4.2,2.3,4.2,2.5
Taunton-Middleborough-Norton,"82,085","82,822","81,950","82,814","3,937","2,261","4,103","2,506",4.8,2.7,5,3
Michigan,"4,747,157","4,866,240","4,752,838","4,831,428","201,429","217,823","213,526","214,347",4.2,4.5,4.5,4.4
Detroit-Warren-Dearborn,"1,991,684","2,071,137","2,001,783","2,069,104","101,235","105,003","107,419","99,229",5.1,5.1,5.4,4.8
Detroit-Dearborn-Livonia,"747,241","775,510","750,371","773,784","45,028","46,918","47,294","43,940",6,6,6.3,5.7
Warren-Troy-Farmington Hills,"1,244,443","1,295,626","1,251,412","1,295,319","56,206","58,085","60,125","55,288",4.5,4.5,4.8,4.3
New York,"9,673,441","9,585,223","9,692,870","9,539,259","462,578","449,936","459,519","424,561",4.8,4.7,4.7,4.5
New York-Newark-Jersey City(2),"10,095,383","10,010,717","10,117,972","9,985,555","465,362","446,989","450,829","412,497",4.6,4.5,4.5,4.1
Dutchess County-Putnam County,"194,259","193,329","194,475","191,059","7,740","7,521","7,675","7,465",4,3.9,3.9,3.9
Nassau County-Suffolk County,"1,471,339","1,469,266","1,473,832","1,459,632","59,686","57,998","59,013","56,762",4.1,3.9,4,3.9
Newark(3),"1,259,840","1,245,743","1,263,428","1,244,928","55,531","50,680","53,151","50,160",4.4,4.1,4.2,4
New York-Jersey City-White Plains(2),"7,169,945","7,102,379","7,186,237","7,089,936","342,405","330,790","330,990","298,110",4.8,4.7,4.6,4.2
Pennsylvania,"6,418,087","6,474,410","6,417,503","6,420,121","279,299","317,880","260,479","312,433",4.4,4.9,4.1,4.9
Philadelphia-Camden-Wilmington(2),"3,074,123","3,104,393","3,075,878","3,087,467","135,299","141,629","124,723","134,666",4.4,4.6,4.1,4.4
Camden(3),"638,474","639,176","639,393","638,154","29,822","26,632","28,460","26,241",4.7,4.2,4.5,4.1
Montgomery County-Bucks County-Chester County,"1,058,413","1,072,551","1,060,342","1,065,515","36,376","41,707","32,513","39,247",3.4,3.9,3.1,3.7
Philadelphia,"993,323","1,011,882","990,793","1,001,932","51,943","58,187","46,879","54,353",5.2,5.8,4.7,5.4
Wilmington(3),"383,913","380,784","385,350","381,866","17,158","15,103","16,871","14,825",4.5,4,4.4,3.9
Texas,"13,147,382","13,390,507","13,136,901","13,398,817","583,304","566,680","556,706","609,927",4.4,4.2,4.2,4.6
Dallas-Fort Worth-Arlington,"3,626,424","3,752,319","3,625,068","3,749,215","140,460","130,412","131,786","138,651",3.9,3.5,3.6,3.7
Dallas-Plano-Irving,"2,438,327","2,532,433","2,434,940","2,531,340","92,192","86,387","86,507","91,982",3.8,3.4,3.6,3.6
Fort Worth-Arlington,"1,188,097","1,219,886","1,190,128","1,217,875","48,268","44,025","45,279","46,669",4.1,3.6,3.8,3.8
Washington,"3,560,884","3,677,276","3,568,849","3,661,925","202,545","189,687","210,992","194,105",5.7,5.2,5.9,5.3
Seattle-Tacoma-Bellevue,"1,976,496","2,050,248","1,983,893","2,039,824","104,146","88,366","99,258","82,583",5.3,4.3,5,4
Seattle-Bellevue-Everett,"1,575,717","1,637,586","1,579,774","1,625,907","80,686","64,308","74,196","57,675",5.1,3.9,4.7,3.5
Tacoma-Lakewood,"400,779","412,662","404,119","413,917","23,460","24,058","25,062","24,908",5.9,5.8,6.2,6
