,State,County,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployed Citizens,Men in Law-Enforcement,Women in Law-Enforcement,Law-Enforcement per 1000,Unemployment Rate (%)
499,GEORGIA,PIERCE,19030,38.9,42730,23470,3764,19.77929585,669,88,36,6.516027325,3.515501839
500,GEORGIA,PIKE,17843,39.4,50819,23783,2120,11.88141008,828,85,0,4.763772908,4.640475256
501,GEORGIA,POLK,41263,37.4,39356,21582,8229,19.9428059,1595,202,66,6.494922812,3.865448465
502,GEORGIA,PULASKI,11460,41.4,38880,17587,2342,20.43630017,235,26,18,3.839441536,2.05061082
503,GEORGIA,PUTNAM,21259,45.3,45762,25164,3727,17.53139847,809,91,12,4.845006821,3.805447105
504,GEORGIA,QUITMAN,2095,48.1,29773,18499,538,25.68019093,149,50,19,32.93556086,7.112171838
505,GEORGIA,RABUN,16312,48.4,38277,24374,3491,21.40142227,450,32,12,2.697400687,2.758705248
506,GEORGIA,RANDOLPH,7224,41.4,30358,26198,2018,27.93466224,276,31,41,9.966777409,3.820598007
507,GEORGIA,RICHMOND,201418,33.5,38595,20956,48495,24.07679552,10039,837,291,5.600293916,4.984162289
508,GEORGIA,ROCKDALE,87569,37.5,51072,23003,14863,16.97290137,4301,389,280,7.639689845,4.911555459
509,GEORGIA,SCHLEY,5089,38.3,41227,21202,1113,21.87070151,301,55,4,11.59363333,5.914718019
510,GEORGIA,SCREVEN,14114,40.5,35047,19801,3425,24.26668556,513,85,26,7.864531671,3.634688961
511,GEORGIA,SEMINOLE,8696,45.2,35410,21484,1639,18.84774609,282,32,9,4.714811408,3.242870285
512,GEORGIA,SPALDING,64006,38.5,40548,19899,14798,23.11970753,2725,224,29,3.952754429,4.257413367
513,GEORGIA,STEPHENS,25584,41.2,37088,20125,4995,19.5239212,1189,138,42,7.03564728,4.647435897
514,GEORGIA,STEWART,5791,37.3,20882,13883,1666,28.76877914,212,15,57,12.43308582,3.660853048
515,GEORGIA,SUMTER,31070,35,33534,18487,9749,31.3775346,1689,231,110,10.97521725,5.436112005
516,GEORGIA,TALBOT,6373,47.9,36957,20366,1307,20.50839479,267,15,15,4.707359172,4.189549663
517,GEORGIA,TALIAFERRO,1904,44,28152,15469,593,31.14495798,84,19,11,15.75630252,4.411764706
518,GEORGIA,TATTNALL,25260,36.6,35578,15632,5290,20.94220111,407,214,131,13.65795724,1.611243072
519,GEORGIA,TAYLOR,8354,42.7,27114,17321,2310,27.65142447,623,15,10,2.992578406,7.457505387
520,GEORGIA,TELFAIR,16405,39.6,27657,12440,3611,22.01158183,198,160,99,15.78786955,1.206949101
521,GEORGIA,TERRELL,9132,41.2,30438,17246,3053,33.43188787,450,24,0,2.628120894,4.927726675
522,GEORGIA,THOMAS,44977,39.6,38241,22178,9377,20.84843364,1922,142,8,3.335037908,4.27329524
523,GEORGIA,TIFT,40691,35.2,37613,20642,10638,26.14337323,890,150,139,7.102307636,2.187215846
524,GEORGIA,TOOMBS,27160,35.6,33081,20309,7117,26.20397644,1259,181,32,7.842415317,4.635493373
525,GEORGIA,TOWNS,10976,53,39321,21671,1528,13.9212828,385,34,5,3.553206997,3.507653061
526,GEORGIA,TREUTLEN,6711,40.3,40204,21307,1184,17.6426762,183,77,11,13.11279988,2.726866339
527,GEORGIA,TROUP,69314,36.2,42545,21942,14388,20.75771128,3549,164,20,2.654586375,5.120177742
528,GEORGIA,TURNER,8151,39.2,34667,17149,2157,26.46301067,300,37,35,8.833271991,3.680529996
529,GEORGIA,TWIGGS,8363,45.7,31625,18255,2504,29.94140859,210,41,0,4.902546933,2.511060624
530,GEORGIA,UNION,22033,53.6,41686,23603,2822,12.80806064,748,49,11,2.723187945,3.394907639
531,GEORGIA,UPSON,26394,41.1,35699,19511,5910,22.3914526,1400,236,9,9.28241267,5.304235811
532,GEORGIA,WALKER,68143,40.7,41539,21588,12273,18.01065407,2108,242,0,3.551355238,3.093494563
533,GEORGIA,WALTON,87436,38.9,54459,24141,11365,12.99807859,3253,577,119,7.960107965,3.720435519
534,GEORGIA,WARE,35671,38.2,34705,18396,9310,26.09963275,787,246,5,7.036528272,2.206274004
535,GEORGIA,WARREN,5504,45,31875,18381,1432,26.01744186,300,21,29,9.084302326,5.450581395
536,GEORGIA,WASHINGTON,20680,40.3,37417,18662,4996,24.15860735,915,131,111,11.70212766,4.424564797
537,GEORGIA,WAYNE,30006,37.9,39908,18663,5684,18.94287809,1466,211,18,7.631806972,4.885689529
538,GEORGIA,WEBSTER,2672,39.8,37072,20834,596,22.30538922,61,32,23,20.58383234,2.282934132
539,GEORGIA,WHEELER,7932,38.4,27779,9688,1383,17.43570348,127,54,12,8.320726172,1.60110943
540,GEORGIA,WHITE,28140,44.5,42264,22055,5345,18.99431414,564,150,0,5.330490405,2.004264392
541,GEORGIA,WHITFIELD,103653,35.1,41764,21158,20126,19.41670767,4858,167,57,2.161056602,4.686791506
542,GEORGIA,WILCOX,8884,39.3,34071,14536,1422,16.00630347,215,80,64,16.2089149,2.420081045
543,GEORGIA,WILKES,9924,44.7,33462,19129,2620,26.4006449,346,33,32,6.549778315,3.48649738
544,GEORGIA,WILKINSON,9312,42.8,38827,19173,1915,20.56486254,269,53,44,10.41666667,2.888745704
545,GEORGIA,WORTH,20988,41,38684,20068,3837,18.28187536,778,23,67,4.288164666,3.706880122
546,HAWAII,HAWAII,193680,41.8,53936,25827,35737,18.4515696,6708,605,96,3.61937216,3.463444857
547,HAWAII,HONOLULU,986999,37.4,77161,32194,90359,9.154923156,24908,4181,683,4.928069836,2.523609446
548,HAWAII,KALAWAO,91,56.5,65625,45812,11,12.08791209,0,2,0,21.97802198,0
549,HAWAII,KAUAI,70447,42,68224,28791,6703,9.514954505,1864,224,58,4.003009355,2.645960793
550,HAWAII,MAUI,162456,40.5,68777,30599,15767,9.705397154,5288,726,197,5.681538386,3.25503521
551,IDAHO,ADA,425798,36.1,58099,30086,51101,12.00123063,11569,1820,417,5.253664883,2.71701605
552,IDAHO,ADAMS,3865,51.7,41335,22741,561,14.5148771,183,19,2,5.433376455,4.734799483
553,IDAHO,BANNOCK,83815,33,45216,22885,14875,17.74741991,2814,300,113,4.927518941,3.357394261
554,IDAHO,BEAR LAKE,5928,39.5,46863,22985,847,14.28812416,88,8,0,1.349527665,1.484480432
555,IDAHO,BENEWAH,9068,46,42600,22055,1510,16.65196295,409,17,4,2.315835906,4.510366123
556,IDAHO,BINGHAM,45261,33,49943,20199,6008,13.27412121,1355,118,4,2.695477343,2.993747376
557,IDAHO,BLAINE,21427,42.9,58086,34330,2707,12.63359313,451,76,24,4.667008914,2.10482102
558,IDAHO,BOISE,6891,53.1,44591,28273,938,13.61195763,247,17,0,2.466985924,3.58438543
559,IDAHO,BONNER,41389,47.5,43697,24507,6092,14.71888666,996,91,5,2.319456861,2.406436493
560,IDAHO,BONNEVILLE,108989,32.6,52831,24889,13711,12.58016864,2366,246,44,2.660818982,2.17086128
561,IDAHO,BOUNDARY,11141,43.4,39279,22822,1813,16.27322502,157,59,1,5.38551297,1.409209227
562,IDAHO,BUTTE,2592,45,39653,25209,396,15.27777778,70,41,4,17.36111111,2.700617284
563,IDAHO,CAMAS,968,40.3,42708,26544,192,19.83471074,21,9,0,9.297520661,2.169421488
564,IDAHO,CANYON,202782,33,44860,18639,37366,18.42668481,7749,702,266,4.773599235,3.82134509
565,IDAHO,CARIBOU,6813,36.8,57957,25146,680,9.980918832,77,18,0,2.642007926,1.130192279
566,IDAHO,CASSIA,23441,31.8,46215,18785,3563,15.19986349,465,12,0,0.511923553,1.983703767
567,IDAHO,CLARK,960,30.3,32422,14622,260,27.08333333,21,2,0,2.083333333,2.1875
568,IDAHO,CLEARWATER,8528,50.3,40266,21316,972,11.39774859,201,41,8,5.745778612,2.356941839
569,IDAHO,CUSTER,4185,52.1,39497,23624,852,20.35842294,64,11,0,2.628434886,1.529271207
570,IDAHO,ELMORE,26103,31.1,44444,22045,4587,17.57269279,811,93,28,4.635482512,3.106922576
571,IDAHO,FRANKLIN,13013,32.8,50500,19985,1606,12.34150465,220,27,0,2.074848229,1.690617075
572,IDAHO,FREMONT,12896,36.9,49973,21196,1475,11.43765509,288,47,4,3.95471464,2.23325062
573,IDAHO,GEM,16853,45.4,40767,18745,3705,21.98421646,592,65,14,4.687592713,3.512727704
574,IDAHO,GOODING,15157,36.7,40704,20418,2348,15.49119219,309,18,0,1.1875701,2.038662004
575,IDAHO,IDAHO,16251,49.3,38597,19524,2536,15.60519353,424,98,37,8.307181097,2.609070211
576,IDAHO,JEFFERSON,27096,31.4,54646,20750,3023,11.15662828,576,76,0,2.804842043,2.125775022
577,IDAHO,JEROME,22694,32.4,44447,18214,3786,16.68282365,524,53,7,2.643870627,2.308980347
578,IDAHO,KOOTENAI,147716,39.7,50924,26514,18412,12.46445883,5076,306,128,2.938070351,3.436323756
579,IDAHO,LATAH,38593,28.3,42133,22717,7929,20.54517659,1579,103,17,3.109372166,4.091415542
580,IDAHO,LEMHI,7743,52.6,34762,21953,1284,16.58271988,191,37,14,6.586594343,2.466744156
581,IDAHO,LEWIS,3826,47.9,38068,22589,598,15.62990068,106,42,6,12.54573968,2.770517512
582,IDAHO,LINCOLN,5292,33.8,44500,18239,630,11.9047619,124,3,1,0.755857899,2.343159486
583,IDAHO,MADISON,38114,23.3,33856,15103,12226,32.07745185,1733,129,0,3.384583093,4.546885659
584,IDAHO,MINIDOKA,20331,35.4,46147,22103,3584,17.62825242,467,45,13,2.852786385,2.2969849
585,IDAHO,NEZ PERCE,39995,41.2,49541,25179,5266,13.16664583,1156,117,51,4.200525066,2.890361295
586,IDAHO,ONEIDA,4269,38.9,40564,19073,582,13.63316936,123,0,0,0,2.881236824
587,IDAHO,OWYHEE,11356,37.7,34785,18135,2643,23.27404015,432,22,0,1.937301867,3.804156393
588,IDAHO,PAYETTE,22773,39.1,45670,21700,4199,18.43850173,836,99,0,4.347253326,3.67101392
589,IDAHO,POWER,7696,34.7,46318,20431,937,12.17515593,219,17,10,3.508316008,2.845634096
590,IDAHO,SHOSHONE,12551,47.2,37449,21875,2208,17.59222373,597,15,6,1.673173452,4.7565931
591,IDAHO,TETON,10437,35.6,58173,29251,1283,12.29280445,345,22,0,2.107885408,3.305547571
592,IDAHO,TWIN FALLS,80955,34.6,45500,21682,12417,15.33815082,1739,197,21,2.692854055,2.148106973
593,IDAHO,VALLEY,9897,48.8,53630,28133,1369,13.83247449,230,23,16,3.940588057,2.323936546
594,IDAHO,WASHINGTON,10035,44.6,37525,19559,1508,15.02740409,385,97,55,15.14698555,3.836571998
595,ILLINOIS,ADAMS,66949,41.1,48065,26053,8457,12.63200347,2195,114,71,2.763297435,3.278615065
596,ILLINOIS,ALEXANDER,7051,41.9,29071,16067,2284,32.39256843,305,32,0,4.538363353,4.325627571
597,ILLINOIS,BOND,17137,41.3,52159,23660,2553,14.89759001,469,76,0,4.434848573,2.736768396
598,ILLINOIS,BOONE,53656,38.3,60063,27825,5908,11.01088415,2266,155,37,3.578350977,4.223199642
599,ILLINOIS,BROWN,6836,37.4,52500,21822,591,8.645406671,142,122,3,18.2855471,2.077238151
600,ILLINOIS,BUREAU,33822,43.6,51425,27332,4340,12.83188457,1200,135,40,5.174147005,3.547986518
601,ILLINOIS,CALHOUN,4962,46.7,52949,25341,595,11.99113261,130,41,0,8.262797259,2.619911326
602,ILLINOIS,CARROLL,14793,47.7,50052,27325,1663,11.24180356,447,58,11,4.664368282,3.021699452
603,ILLINOIS,CASS,13068,40.1,48887,25010,1787,13.67462504,588,84,4,6.734006734,4.499540863
604,ILLINOIS,CHAMPAIGN,206420,29.5,48899,27373,41161,19.94041275,5905,433,190,3.018118399,2.860672415
605,ILLINOIS,CHRISTIAN,33888,42.5,47417,23823,4356,12.85410765,799,126,23,4.396836638,2.357766761
606,ILLINOIS,CLARK,16089,43.1,48693,25806,2576,16.01093915,723,83,20,6.40188949,4.493753496
607,ILLINOIS,CLAY,13466,43.1,45984,23843,1854,13.76800832,394,61,2,4.678449428,2.92588742
608,ILLINOIS,CLINTON,37858,40.1,63929,29512,3406,8.996777431,943,240,14,6.709282054,2.490886999
609,ILLINOIS,COLES,52802,33.6,38800,23944,10711,20.28521647,1990,128,11,2.632476043,3.768796636
610,ILLINOIS,COOK,5227575,36.1,56902,32179,856682,16.38775149,266397,18967,5111,4.605959742,5.095995753
611,ILLINOIS,CRAWFORD,19441,42.5,47364,26245,2192,11.27514017,597,74,4,4.012139293,3.07082969
612,ILLINOIS,CUMBERLAND,10890,41.6,44281,22786,1747,16.04224059,324,16,0,1.469237833,2.975206612
613,ILLINOIS,DEKALB,104458,30.5,56076,25172,18001,17.23276341,5405,655,173,7.926630799,5.174328438
614,ILLINOIS,DE WITT,16322,43.3,53510,28294,1926,11.80002451,629,143,0,8.761181228,3.8536944
615,ILLINOIS,DOUGLAS,19770,38,52984,26309,2223,11.24430956,524,93,11,5.260495701,2.650480526
616,ILLINOIS,DUPAGE,930514,38.9,81521,40547,64677,6.950674573,31180,2140,400,2.729674137,3.350836205
617,ILLINOIS,EDGAR,17828,44.1,46440,25122,2845,15.95804353,808,134,2,7.62844963,4.532196545
618,ILLINOIS,EDWARDS,6612,43.6,47035,25235,760,11.49425287,237,13,29,6.352087114,3.584392015
619,ILLINOIS,EFFINGHAM,34356,39.2,52977,27680,3634,10.57748283,884,53,9,1.804633834,2.573058563
620,ILLINOIS,FAYETTE,22025,40.4,44745,21665,3240,14.71055619,779,413,19,19.61407491,3.536889898
621,ILLINOIS,FORD,13758,43.4,49257,25524,1871,13.59936037,508,24,1,1.817124582,3.692397151
622,ILLINOIS,FRANKLIN,39503,41.9,39507,22119,7440,18.83401261,1861,285,15,7.594359922,4.711034605
623,ILLINOIS,FULTON,36047,42.4,46183,22969,5232,14.514384,1295,225,48,7.573445779,3.592531972
624,ILLINOIS,GALLATIN,5325,44.7,41269,23109,860,16.15023474,212,36,0,6.76056338,3.981220657
625,ILLINOIS,GREENE,13390,42.5,42880,21916,2250,16.80358476,506,72,6,5.825242718,3.778939507
626,ILLINOIS,GRUNDY,50338,37.2,67162,30232,4899,9.732210259,1954,188,12,3.973141563,3.881759307
627,ILLINOIS,HAMILTON,8251,43,45076,24309,1219,14.77396679,159,52,8,7.271845837,1.927039147
628,ILLINOIS,HANCOCK,18633,46.4,50077,25647,2124,11.39913057,617,66,3,3.70310739,3.311329362
629,ILLINOIS,HARDIN,4173,46.1,39926,21573,774,18.54780733,321,32,0,7.668344117,7.692307692
630,ILLINOIS,HENDERSON,6966,49.2,46216,26504,731,10.49382716,267,21,0,3.01464255,3.83290267
631,ILLINOIS,HENRY,49681,42.3,54757,27777,6019,12.11529559,1289,308,39,6.984561502,2.59455325
632,ILLINOIS,IROQUOIS,28814,44.3,47823,25562,4556,15.81175817,961,64,11,2.602901367,3.335184285
633,ILLINOIS,JACKSON,59188,30.8,33845,21948,15533,26.2434953,2580,322,94,7.028451713,4.358991688
634,ILLINOIS,JASPER,9592,42.8,56305,25811,775,8.079649708,197,85,5,9.382819016,2.053794829
635,ILLINOIS,JEFFERSON,38523,40.9,43467,23054,6392,16.59268489,1674,161,28,4.906159956,4.345455961
636,ILLINOIS,JERSEY,22441,42.4,52738,26346,1954,8.707276859,868,73,0,3.252974466,3.867920324
637,ILLINOIS,JO DAVIESS,22186,48.6,54702,29892,2051,9.244568647,559,59,56,5.183449022,2.519606959
638,ILLINOIS,JOHNSON,12866,42.9,44179,20928,1363,10.59381315,422,177,11,14.61215607,3.279962692
639,ILLINOIS,KANE,526615,36.2,71602,31774,57312,10.88309296,19128,1289,181,2.791413082,3.632255063
640,ILLINOIS,KANKAKEE,111493,37.4,54697,25111,16800,15.06821056,4611,402,123,4.7088158,4.135685648
641,ILLINOIS,KENDALL,121452,34.4,85736,31920,6578,5.416131476,3518,785,72,7.056285611,2.896617594
642,ILLINOIS,KNOX,51752,42.1,40605,22939,8418,16.26603803,1561,170,16,3.594063998,3.016308548
643,ILLINOIS,LAKE,702890,37.8,79886,40655,60664,8.630653445,25717,1341,232,2.237903513,3.658751725
644,ILLINOIS,LASALLE,111935,41.8,51684,26228,15069,13.46227721,5350,521,107,5.610398892,4.779559566
645,ILLINOIS,LAWRENCE,16582,39.6,42650,16417,1929,11.63309613,288,22,3,1.507658907,1.736823061
646,ILLINOIS,LEE,34718,42.7,55067,27021,3783,10.896365,1053,105,24,3.715651823,3.033008814
647,ILLINOIS,LIVINGSTON,37278,41.2,54074,26777,4364,11.70663662,1046,372,22,10.56923655,2.805944525
648,ILLINOIS,LOGAN,29820,40,52676,23410,2996,10.04694836,898,215,25,8.048289738,3.011401744
649,ILLINOIS,MCDONOUGH,31727,30.7,41484,22387,6513,20.52825669,1443,168,9,5.578844517,4.548176632
650,ILLINOIS,MCHENRY,307083,39.6,79836,34589,23653,7.702477832,11147,1312,147,4.751158482,3.629963235
651,ILLINOIS,MCLEAN,173254,32.6,63420,31752,23485,13.55524259,4478,367,67,2.50499267,2.58464451
652,ILLINOIS,MACON,108404,40.7,47477,27010,19626,18.10449799,5448,386,138,4.833769972,5.02564481
653,ILLINOIS,MACOUPIN,46482,43,52337,26779,5875,12.63930123,2175,133,38,3.678843423,4.67923067
654,ILLINOIS,MADISON,266759,39.7,54573,29100,34400,12.89553492,11185,1049,111,4.348494334,4.1929232
655,ILLINOIS,MARION,38503,41.6,43427,23366,6867,17.8349739,1689,262,70,8.622704724,4.386671168
656,ILLINOIS,MARSHALL,12060,46.4,54189,28279,1163,9.64344942,353,66,0,5.472636816,2.927031509
657,ILLINOIS,MASON,13931,45.1,43125,25166,2115,15.18196827,682,37,11,3.445553083,4.895556672
658,ILLINOIS,MASSAC,14883,44,42706,23673,2750,18.4774575,484,94,7,6.78626621,3.25203252
659,ILLINOIS,MENARD,12576,42.6,60420,31323,1564,12.43638677,371,107,14,9.621501272,2.950063613
660,ILLINOIS,MERCER,15971,44.8,55750,27566,1618,10.13086219,491,38,18,3.506355269,3.074322209
661,ILLINOIS,MONROE,33703,42.3,72956,35699,1480,4.391300478,843,226,0,6.705634513,2.501261015
662,ILLINOIS,MONTGOMERY,29301,42.4,45173,21072,3725,12.71287669,603,120,14,4.573222757,2.057950241
663,ILLINOIS,MORGAN,34801,41.1,47760,25201,4684,13.45938335,1238,237,20,7.384845263,3.557369041
664,ILLINOIS,MOULTRIE,14915,40.7,51432,25351,1769,11.86054308,285,63,0,4.223935635,1.910828025
665,ILLINOIS,OGLE,52034,41.8,55832,28026,5617,10.7948649,1741,202,29,4.439405004,3.345889226
666,ILLINOIS,PEORIA,186818,36.9,51632,29055,29991,16.05359227,7674,519,72,3.163506728,4.107741224
667,ILLINOIS,PERRY,21595,41.6,43308,22650,3102,14.36443621,591,174,103,12.8270433,2.736744617
668,ILLINOIS,PIATT,16469,43.3,69160,33197,927,5.628757059,567,147,13,9.715222539,3.442831987
669,ILLINOIS,PIKE,16054,42.5,40157,22048,2233,13.90930609,494,144,31,10.9007101,3.077114738
670,ILLINOIS,POPE,4255,50.6,39243,21427,604,14.19506463,123,18,10,6.580493537,2.890716804
671,ILLINOIS,PULASKI,5792,43.5,32538,18924,1051,18.14571823,264,34,12,7.94198895,4.55801105
672,ILLINOIS,PUTNAM,5746,46.4,64085,32584,595,10.35502959,182,28,0,4.872955099,3.167420814
673,ILLINOIS,RANDOLPH,32934,41.4,48343,23424,3219,9.774093642,749,386,48,13.17787089,2.274245461
674,ILLINOIS,RICHLAND,16072,42.1,45597,23972,2311,14.3790443,436,98,0,6.097560976,2.712792434
675,ILLINOIS,ROCK ISLAND,146536,40.1,50208,26893,21375,14.5868592,5723,370,123,3.364360976,3.905524922
676,ILLINOIS,ST. CLAIR,265569,37.8,50006,27683,46059,17.34351524,10560,859,223,4.074270717,3.976367724
677,KENTUCKY,LARUE,14127,40.8,41050,21204,2260,15.99773483,503,109,13,8.635945353,3.560557797
678,KENTUCKY,LAUREL,59950,39.1,36139,19383,13475,22.47706422,2497,200,14,3.569641368,4.165137615
679,KENTUCKY,LAWRENCE,15870,41.1,35016,18410,3519,22.17391304,489,93,0,5.860113422,3.081285444
680,KENTUCKY,LEE,6896,42.8,21185,13873,2360,34.22273782,255,22,11,4.785382831,3.697795824
681,KENTUCKY,LESLIE,10869,41.7,25282,14653,3435,31.60364339,530,23,25,4.416229644,4.876253565
682,KENTUCKY,LETCHER,23382,41.7,29181,17181,6889,29.46283466,1087,53,26,3.378667351,4.648875203
683,KENTUCKY,LEWIS,13646,40.9,29088,17753,3773,27.64912795,329,0,0,0,2.41096292
684,KENTUCKY,LINCOLN,24424,40.5,35185,18720,6049,24.76662299,1086,68,0,2.784146741,4.446446119
685,KENTUCKY,LIVINGSTON,9353,46.5,43333,24203,1282,13.70683203,212,26,5,3.314444563,2.266652411
686,KENTUCKY,LOGAN,26757,40.6,39027,20385,4778,17.85700938,837,98,4,3.812086557,3.12815338
687,KENTUCKY,LYON,8325,49,47861,26105,1030,12.37237237,169,108,27,16.21621622,2.03003003
688,KENTUCKY,MCCRACKEN,65292,42.4,42303,28926,11342,17.37119402,1563,165,0,2.527108987,2.393861423
689,KENTUCKY,MCCREARY,17850,38.9,18972,11114,6906,38.68907563,955,0,0,0,5.350140056
690,KENTUCKY,MCLEAN,9492,41.4,43005,21623,1718,18.09945217,319,37,2,4.108723135,3.360724821
691,KENTUCKY,MADISON,87324,33.9,43707,22271,17222,19.72195502,3381,450,135,6.699189226,3.871787825
692,KENTUCKY,MAGOFFIN,12887,41.2,29463,15710,3751,29.10685187,518,55,0,4.267866843,4.01955459
693,KENTUCKY,MARION,19497,39.1,40392,20450,3541,18.16176848,763,111,0,5.693183567,3.913422578
694,KENTUCKY,MARSHALL,31213,44.8,45670,25138,3201,10.25534233,948,23,14,1.185403518,3.03719604
695,KENTUCKY,MARTIN,12478,38.1,29052,14938,3538,28.35390287,616,1,0,0.080141048,4.936688572
696,KENTUCKY,MASON,17229,40.9,38613,24124,3446,20.00116083,500,56,0,3.25033374,2.902083696
697,KENTUCKY,MEADE,28751,37.1,50034,24018,4426,15.39424716,1126,46,0,1.59994435,3.916385517
698,KENTUCKY,MENIFEE,6345,44.1,35280,18995,1495,23.56185973,284,50,33,13.08116627,4.475965327
699,KENTUCKY,MERCER,21411,43,46130,24079,3846,17.96272944,965,45,8,2.475363131,4.507029097
700,KENTUCKY,METCALFE,9983,43.5,33788,18141,2250,22.53831514,291,56,0,5.609536212,2.914955424
701,KENTUCKY,MONROE,10692,42.7,34120,19969,2749,25.71081182,396,8,0,0.74822297,3.703703704
702,KENTUCKY,MONTGOMERY,27391,38.9,39750,20437,6777,24.74170348,1074,78,37,4.198459348,3.920995948
703,KENTUCKY,MORGAN,13379,41.2,32517,16780,2889,21.59354212,350,145,17,12.10852829,2.616040063
704,KENTUCKY,MUHLENBERG,31216,41.5,40445,19934,5914,18.94541261,1107,166,14,5.766273706,3.546258329
705,KENTUCKY,NELSON,44875,38,51408,26353,6185,13.78272981,1610,199,0,4.43454039,3.587743733
706,KENTUCKY,NICHOLAS,7062,42,37993,22438,1804,25.54517134,241,12,0,1.699235344,3.412630983
707,KENTUCKY,OHIO,24152,40.6,39479,19963,5003,20.71464061,1097,43,12,2.277244121,4.54206691
708,KENTUCKY,OLDHAM,63876,39.1,86324,35795,3566,5.582691465,1273,361,45,6.356064876,1.99292379
709,KENTUCKY,OWEN,10673,41.6,41597,22151,1858,17.40841375,368,59,0,5.527967769,3.447952778
710,KENTUCKY,OWSLEY,4552,41.7,22106,16533,1652,36.29173989,120,61,0,13.40070299,2.636203866
711,KENTUCKY,PENDLETON,14509,41.7,49766,23578,2126,14.65297402,387,42,12,3.721827831,2.667309946
712,KENTUCKY,PERRY,27818,41.1,31578,19697,7394,26.57991229,1575,152,0,5.464088001,5.661801711
713,KENTUCKY,PIKE,62791,41.5,32816,20128,15528,24.72965871,2378,143,14,2.500358332,3.787166951
714,KENTUCKY,POWELL,12387,38.7,34048,18158,3115,25.14733188,360,15,0,1.210946961,2.906272705
715,KENTUCKY,PULASKI,63772,41.8,34673,21083,15643,24.52957411,2510,168,62,3.606598507,3.935896632
716,KENTUCKY,ROBERTSON,2191,47.7,30964,22702,520,23.73345504,52,6,0,2.738475582,2.373345504
717,KENTUCKY,ROCKCASTLE,16893,42.3,33500,17930,3875,22.93849523,773,90,8,5.80121944,4.575859824
718,KENTUCKY,ROWAN,24302,31,36216,18743,5510,22.67303103,672,296,9,12.55040737,2.76520451
719,KENTUCKY,RUSSELL,17684,43.4,31539,17702,4606,26.04614341,733,77,0,4.354218503,4.144989821
720,KENTUCKY,SCOTT,51348,36.1,64329,29345,5309,10.33925372,1480,201,19,4.284490146,2.882293371
721,KENTUCKY,SHELBY,44967,38.5,61737,28502,5600,12.45357707,1127,156,35,4.247559321,2.506282385
722,KENTUCKY,SIMPSON,17856,40.1,42288,21122,3317,18.57638889,457,118,0,6.608422939,2.559363799
723,KENTUCKY,SPENCER,17798,40.6,65700,27227,1782,10.01236094,633,59,23,4.607259243,3.556579391
724,KENTUCKY,TAYLOR,25315,38.6,32977,18613,6090,24.05688327,986,53,0,2.093620383,3.894923958
725,KENTUCKY,TODD,12465,37.2,41306,19165,2107,16.90332932,404,17,0,1.363818692,3.24107501
726,KENTUCKY,TRIGG,14267,45.1,45032,26068,2262,15.85476975,631,24,0,1.682203687,4.42279386
727,KENTUCKY,TRIMBLE,8751,40.9,45935,24515,1539,17.58656154,641,16,4,2.285453091,7.324877157
728,KENTUCKY,UNION,15065,37.7,41255,21063,3528,23.41851975,578,23,4,1.792233654,3.8367076
729,KENTUCKY,WARREN,121066,32.9,46929,24060,21838,18.03809492,4243,309,14,2.667966233,3.504699916
730,KENTUCKY,WASHINGTON,12017,41,43719,20834,2060,17.14238163,339,48,0,3.99434135,2.821003578
731,KENTUCKY,WAYNE,20557,42.1,30260,16104,5138,24.99391935,969,88,0,4.280780269,4.713722819
732,KENTUCKY,WEBSTER,13331,39.8,38374,20117,2615,19.61593279,393,34,0,2.550446328,2.948015903
733,KENTUCKY,WHITLEY,35842,36.7,32397,17520,9191,25.64310027,1352,36,0,1.004408236,3.772110931
734,KENTUCKY,WOLFE,7221,41.8,21797,14274,2896,40.10524858,212,63,0,8.724553386,2.935881457
735,KENTUCKY,WOODFORD,25591,41.9,59471,30786,3636,14.20812004,585,58,25,3.243327732,2.285959908
736,LOUISIANA,ACADIA PARISH,62372,35.8,39837,20887,12579,20.16770346,2511,219,29,3.976143141,4.02584493
737,LOUISIANA,ALLEN PARISH,25619,38.6,41801,20296,3367,13.14258948,880,311,52,14.16917132,3.434950623
738,LOUISIANA,ASCENSION PARISH,117009,35,71752,30094,13320,11.38373971,3555,733,108,7.187481305,3.038227829
739,ILLINOIS,SALINE,24659,42,40290,21917,5334,21.63104749,1389,238,4,9.813861065,5.632831826
740,ILLINOIS,SANGAMON,198639,39.9,56742,31904,29600,14.90140405,7805,1081,91,5.900150524,3.929238468
741,ILLINOIS,SCHUYLER,7205,45.5,48396,24323,1411,19.58362248,198,99,0,13.74045802,2.748091603
742,ILLINOIS,SCOTT,5169,43.3,46210,25568,747,14.45153802,252,16,3,3.675759334,4.875217644
743,ILLINOIS,SHELBY,22011,44.4,48572,23974,2810,12.7663441,585,80,5,3.861705511,2.657762028
744,ILLINOIS,STARK,5840,46.2,52058,28545,768,13.15068493,188,19,7,4.452054795,3.219178082
745,ILLINOIS,STEPHENSON,46283,44.6,45624,24529,7203,15.56294968,2015,52,13,1.404403345,4.353650368
746,ILLINOIS,TAZEWELL,135400,40.6,60178,30700,10485,7.743722304,3480,554,49,4.453471196,2.570162482
747,ILLINOIS,UNION,17458,43.7,45464,24296,2667,15.27666399,500,162,47,11.97158896,2.864016497
